,generalScienceJargon,frequencyRank,word
0,0,0,cells
1,1,1,patients
2,0,2,protein
3,1,3,results
4,0,4,virus
5,0,5,gene
6,1,6,activity
7,0,7,human
8,1,8,treatment
9,1,9,specific
10,1,10,associated
11,1,11,expression
12,1,12,disease
13,1,13,studies
14,1,14,data
15,1,15,increased
16,1,16,response
17,1,17,levels
18,0,18,normal
19,0,19,using
20,0,20,proteins
21,1,21,binding
22,1,22,induced
23,1,23,type
24,1,24,control
25,1,25,effects
26,1,26,effect
27,1,27,analysis
28,0,28,within
29,1,29,infection
30,0,30,acid
31,1,31,observed
32,1,32,risk
33,1,33,role
34,1,34,suggest
35,1,35,function
36,1,36,compared
37,1,37,receptor
38,1,38,system
39,0,39,genes
40,1,40,significant
41,0,41,showed
42,1,42,clinical
43,0,43,years
44,1,44,beta
45,1,45,development
46,1,46,related
47,1,47,alpha
48,1,48,significantly
49,1,49,similar
50,1,50,evidence
51,0,51,viral
52,0,52,changes
53,1,53,growth
54,1,54,dependent
55,1,55,factor
56,1,56,increase
57,1,57,based
58,1,58,per
59,1,59,identified
60,1,60,region
61,1,61,groups
62,1,62,activation
63,0,63,membrane
64,1,64,although
65,1,65,subjects
66,0,66,serum
67,1,67,model
68,1,68,factors
69,0,69,higher
70,1,70,findings
71,1,71,synthesis
72,1,72,sequence
73,1,73,complex
74,1,74,primary
75,1,75,presence
76,1,76,vitro
77,0,77,antigen
78,1,78,plasma
79,0,79,molecular
80,1,80,patient
81,1,81,thus
82,1,82,infected
83,1,83,including
84,1,84,responses
85,1,85,species
86,0,86,antibody
87,1,87,reduced
88,1,88,therapy
89,1,89,positive
90,0,90,days
91,1,91,vivo
92,1,92,addition
93,1,93,dose
94,0,94,neurons
95,1,95,differences
96,1,96,total
97,1,97,drug
98,0,98,shown
99,1,99,functional
100,0,100,site
101,1,101,potential
102,1,102,concentrations
103,1,103,population
104,1,104,studied
105,1,105,mechanisms
106,1,106,formation
107,1,107,exposure
108,0,108,genetic
109,1,109,structure
110,1,110,mechanism
111,1,111,obtained
112,1,112,contrast
113,0,113,tissue
114,1,114,demonstrated
115,1,115,containing
116,0,116,immune
117,1,117,indicate
118,1,118,regions
119,1,119,sites
120,1,120,cases
121,0,121,antibodies
122,0,122,cellular
123,1,123,whereas
124,0,124,amino
125,1,125,previously
126,0,126,lower
127,0,127,enzyme
128,1,128,treated
129,0,129,transcription
130,1,130,rates
131,1,131,whether
132,1,132,reported
133,1,133,common
134,1,134,determined
135,1,135,concentration
136,1,136,isolated
137,1,137,conditions
138,0,138,cancer
139,1,139,mediated
140,0,140,animals
141,1,141,inhibition
142,1,142,provide
143,1,143,non
144,1,144,greater
145,1,145,produced
146,1,146,required
147,1,147,sequences
148,1,148,examined
149,1,149,anti
150,1,150,chronic
151,1,151,production
152,0,152,months
153,0,153,receptors
154,1,154,revealed
155,1,155,involved
156,1,156,acute
157,1,157,detected
158,1,158,replication
159,1,159,approximately
160,1,160,active
161,1,161,derived
162,1,162,symptoms
163,1,163,demonstrate
164,1,164,period
165,1,165,expressed
166,1,166,measured
167,1,167,mutations
168,1,168,respectively
169,1,169,controls
170,0,170,weight
171,1,171,highly
172,1,172,various
173,1,173,ability
174,1,174,information
175,1,175,developed
176,1,176,range
177,1,177,negative
178,1,178,mutant
179,1,179,individuals
180,1,180,domain
181,0,181,rats
182,1,182,recent
183,1,183,process
184,1,184,decreased
185,0,185,tumor
186,1,186,target
187,0,187,molecules
188,1,188,terminal
189,1,189,relative
190,1,190,release
191,1,191,research
192,1,192,experiments
193,1,193,phase
194,1,194,suggests
195,1,195,types
196,1,196,determine
197,1,197,result
198,1,198,effective
199,1,199,ratio
200,1,200,association
201,1,201,method
202,0,202,insulin
203,1,203,resistance
204,0,204,nuclear
205,1,205,multiple
206,1,206,interaction
207,0,207,asthma
208,1,208,occurred
209,1,209,independent
210,1,210,areas
211,0,211,kinase
212,1,212,individual
213,1,213,gamma
214,0,214,genome
215,1,215,area
216,1,216,systems
217,1,217,tested
218,1,218,support
219,1,219,mortality
220,1,220,reaction
221,1,221,percent
222,0,222,weeks
223,1,223,events
224,1,224,frequency
225,1,225,reduction
226,1,226,distribution
227,1,227,therefore
228,1,228,suggesting
229,1,229,temperature
230,1,230,models
231,1,231,stimulation
232,1,232,pressure
233,0,233,cortex
234,1,234,central
235,0,235,adult
236,1,236,degrees
237,1,237,regulation
238,1,238,current
239,0,239,nucleus
240,1,240,severe
241,1,241,caused
242,0,242,glucose
243,1,243,patterns
244,1,244,distinct
245,1,245,administration
246,1,246,sensitive
247,1,247,drugs
248,1,248,signaling
249,1,249,interactions
250,0,250,viruses
251,1,251,consistent
252,1,252,properties
253,1,253,disorders
254,1,254,appears
255,1,255,basis
256,1,256,essential
257,0,257,placebo
258,1,258,characterized
259,1,259,diagnosis
260,1,260,suggested
261,1,261,pattern
262,1,262,previous
263,1,263,investigated
264,1,264,functions
265,1,265,described
266,1,266,pathway
267,1,267,medical
268,1,268,processes
269,1,269,disorder
270,1,270,density
271,1,271,purified
272,1,272,absence
273,1,273,activated
274,1,274,syndrome
275,0,275,lymphocytes
276,1,276,culture
277,1,277,inhibited
278,1,278,labeled
279,1,279,action
280,1,280,inhibitor
281,0,281,renal
282,1,282,survival
283,1,283,approach
284,1,284,acids
285,0,285,peptide
286,1,286,values
287,1,287,followed
288,0,288,hormone
289,1,289,resulted
290,1,290,performed
291,1,291,structural
292,1,292,initial
293,1,293,components
294,1,294,mutation
295,1,295,critical
296,1,296,decrease
297,0,297,memory
298,1,298,peripheral
299,1,299,diseases
300,1,300,methods
301,1,301,hypothesis
302,1,302,stress
303,0,303,muscle
304,1,304,relationship
305,1,305,structures
306,0,306,depression
307,1,307,behavior
308,1,308,populations
309,1,309,incidence
310,0,310,times
311,1,311,defined
312,0,312,oral
313,1,313,strain
314,1,314,social
315,1,315,increases
316,1,316,enhanced
317,1,317,tests
318,1,318,samples
319,1,319,reactions
320,1,320,furthermore
321,1,321,occur
322,1,322,analyses
323,1,323,understanding
324,1,324,strains
325,0,325,mutants
326,1,326,identify
327,1,327,cultures
328,0,328,lesions
329,0,329,lines
330,1,330,discussed
331,0,331,antigens
332,1,332,additional
333,1,333,novel
334,0,334,infections
335,1,335,correlated
336,1,336,component
337,1,337,available
338,1,338,controlled
339,1,339,assessed
340,1,340,visual
341,0,341,chromosome
342,1,342,complete
343,1,343,transport
344,1,344,received
345,1,345,induction
346,1,346,linked
347,1,347,indicated
348,1,348,increasing
349,1,349,sensitivity
350,1,350,established
351,1,351,differentiation
352,1,352,tissues
353,1,353,experimental
354,1,354,forms
355,0,355,inflammatory
356,1,356,overall
357,0,357,min
358,1,358,imaging
359,1,359,processing
360,1,360,cycle
361,0,361,particles
362,1,362,combination
363,1,363,occurs
364,0,364,calcium
365,1,365,transfer
366,1,366,failure
367,1,367,complexes
368,1,368,signal
369,1,369,rapid
370,1,370,injection
371,0,371,bacterial
372,1,372,volume
373,1,373,recently
374,1,374,promoter
375,1,375,products
376,1,376,regulatory
377,1,377,recognition
378,0,378,sodium
379,1,379,affected
380,1,380,natural
381,1,381,energy
382,0,382,assay
383,1,383,resistant
384,1,384,responsible
385,1,385,limited
386,1,386,therapeutic
387,1,387,bound
388,1,388,activities
389,1,389,pathways
390,1,390,included
391,1,391,characteristics
392,0,392,lung
393,1,393,interval
394,1,394,features
395,1,395,influence
396,1,396,onset
397,0,397,electron
398,1,398,directly
399,1,399,female
400,1,400,quality
401,1,401,contain
402,1,402,agents
403,0,403,cognitive
404,1,404,doses
405,1,405,exposed
